no	eng	trans	rus	category1	category2
904	snowman	[ˈsnəʊmæn]	снеговик	События	Праздники
905	treat	[triːt]	угощение	События	Праздники
906	balloon	[bəˈluːn]	воздушный шар	События	День рождения
907	birthday	[ˈbɜːθdeɪ]	день рождения	События	День рождения
908	cake	[keɪk]	торт	События	День рождения
909	candle	[ˈkændl]	свеча	События	День рождения
910	party	[ˈpɑːti]	вечеринка	События	День рождения
911	wish	[wɪʃ]	желание	События	День рождения
912	to be born	[biː bɔːn]	родиться	События	глаголы
913	to celebrate	[ˈselɪbreɪt]	праздновать	События	глаголы
914	to congratulate	[kənˈɡrætʃəleɪt]	поздравлять	События	глаголы
915	to enjoy	[ɪnˈdʒɔɪ]	наслаждаться	События	глаголы
916	to get older	[ɡet ˈəʊldə(r)]	становиться старше	События	глаголы
917	to have fun	[hæv fʌn]	развлекаться	События	глаголы
918	to invite	[ɪnˈvaɪt]	пригласить	События	глаголы
919	to like	[laɪk]	нравиться	События	глаголы
920	to make a wish	[meɪk ə wɪʃ]	загадать желание	События	глаголы
921	to prepare	[prɪˈpeə(r]	готовиться	События	глаголы
922	to visit	[ˈvɪzɪt]	навещать	События	глаголы
923	bakery	[ˈbeɪkəri]	булочная, пекарня	Места	
924	bank	[bæŋk]	банк	Места	
925	bench	[bentʃ]	скамья	Места	
926	bookshop	[ˈbʊkʃɒp]	книжный магазин	Места	
927	bridge	[brɪdʒ]	мост	Места	
928	building	[ˈbɪldɪŋ]	здание	Места	
929	cafe	[ˈkæfeɪ]	кафе	Места	
930	car park	[ˈkɑː pɑːk]	парковка	Места	
931	cathedral	[kəˈθiːdrəl]	собор	Места	
932	cheap	[tʃiːp]	дешевый	Места	
933	church	[tʃɜːtʃ]	церковь	Места	
934	coin	[kɔɪn]	монета	Места	
935	corner	[ˈkɔːnə(r)]	угол	Места	
936	crossroads	[ˈkrɒsrəʊdz]	перекресток	Места	
937	customer	[ˈkʌstəmə(r)]	покупатель	Места	
938	dead end	[ˌded ˈend]	тупик	Места	
939	expensive	[ɪkˈspensɪv]	дорогой	Места	
940	fountain	[ˈfaʊntən]	фонтан	Места	
941	hospital	[ˈhɒspɪtl]	больница	Места	
942	left	[left]	налево	Места	
943	library	[ˈlaɪbrəri]	библиотека	Места	
944	lift	[lɪft]	лифт	Места	
945	mall	[mɔːl]	торговый центр	Места	
946	market	[ˈmɑːkɪt]	рынок	Места	
947	monument	[ˈmɒnjumənt]	памятник	Места	
948	museum	[mjuˈziːəm]	музей	Места	
949	nightclub	[ˈnaɪtklʌb]	ночной клуб	Места	
950	park	[pɑːk]	парк	Места	
951	price	[praɪs]	цена	
952	public transport	[ˌpʌblɪk ˈtrænspɔːt]	общественный транспорт	Места	
953	receipt	[rɪˈsiːt]	чек	Места	
954	restaurant	[ˈrestrɒnt]	ресторан	Места	
955	right	[raɪt]	направо	Места	
956	road	[rəʊd]	дорога	Места	
957	sale	[seɪl]	распродажа	Места	
958	school	[skuːl]	школа	Места	
959	shop	[ʃɒp]	магазин	Места	
960	square	[skweə(r)]	площадь	Места	
961	stadium	[ˈsteɪdiəm]	стадион	Места	
962	station	[ˈsteɪʃn]	станция	Места	
963	stop	[stɒp]	остановка	Места	
964	street	[striːt]	улица	Места	
965	subway	[ˈsʌbweɪ]	подземный переход, метро	Места	
966	supermarket	[ˈsuːpəmɑːkɪt]	супермаркет	Места	
967	university	[ˌjuːnɪˈvɜːsəti]	университет	Места	
968	view	[vjuː]	вид	Места	
969	way	[weɪ]	путь	Места	
970	zoo	[zuː]	зоопарк	Места	
971	to cost	[kɒst]	стоить	Места	глаголы
972	to cross	[krɒs]	пересекать, переходить	Места	глаголы
973	to find	[faɪnd]	находить	Места	глаголы
974	to go	[ɡəʊ]	идти	Места	глаголы
975	to go sightseeing	[ˌɡəʊ ˈsaɪtsiːɪŋ]	осматривать достопримечательности	Места	глаголы
976	to pay	[peɪ]	платить	Места	глаголы
977	to sell	[sel]	продавать	Места	глаголы
978	to stop	[stɒp]	остановиться	Места	глаголы
979	and	[ænd]	и		Союзы
980	as	[æz]	как		Союзы
981	because	[bɪˈkəz]	потому что		Союзы
982	but	[bʌt]	но		Союзы
983	if	[ɪf]	если		Союзы
984	how	[haʊ]	как		Союзы
985	or	[ɔː(r)]	или		Союзы
986	than	[ðæn]	чем		Союзы
987	that	[ðæt]	который		Союзы
988	what	[wɒt]	что		Союзы
989	when	[wen]	когда		Союзы
990	where	[weə(r)]	где		Союзы
991	which	[wɪtʃ]	который		Союзы
992	who	[huː]	кто		Союзы
993	whom	[huːm]	кому		Союзы
994	whose	[huːz]	чей		Союзы
995	yet	[jet]	однако		Союзы
996	above	[əˈbʌv]	над		Предлоги места
997	at	[æt]	у, в, на		Предлоги места
998	behind	[bɪˈhaɪnd]	за		Предлоги места
999	below	[bɪˈləʊ]	ниже		Предлоги места
1000	between	[bɪˈtwiːn]	между		Предлоги места
1001	by	[baɪ]	у		Предлоги места
1002	in	[ɪn]	в		Предлоги места
1003	on	[ɒn]	на		Предлоги места
1004	under	[ˈʌndə(r)]	под		Предлоги места
1005	after	[ˈɑːftə(r)]	после		Предлоги времени
1006	at	[æt]	в		Предлоги времени
1007	before	[bɪˈfɔː(r)]	до		Предлоги времени
1008	by	[baɪ]	к		Предлоги времени
1009	during	[ˈdjʊərɪŋ]	во время		Предлоги времени
1010	in	[ɪn]	в, через		Предлоги времени
1011	on	[ɒn]	в		Предлоги времени
1012	since	[sɪns]	с тех пор, как		Предлоги времени
1013	until	[ənˈtɪl]	пока		Предлоги времени
1014	because of	[bɪˈkɒz əv]	из-за		Предлоги причины
1015	for	[fɔː(r)]	для, за, из-за		Предлоги причины
1016	from	[frɒm]	от		Предлоги причины
1017	of	[ɒv]	из-за, от, по		Предлоги причины
1018	thanks to	[θæŋks tuː]	благодаря		Предлоги причины
1019	through	[θruː]	благодаря, из-за		Предлоги причины
1020	across	[əˈkrɒs]	через		Предлоги направления
1021	along	[əˈlɒŋ]	вдоль		Предлоги направления
1022	from	[frɒm]	от		Предлоги направления
1023	into	[ˈɪntuː]	в		Предлоги направления
1024	out	[aʊt]	из		Предлоги направления
1025	to	[tuː]	к, в, на 		Предлоги направления
