no	eng	trans	rus	category1	category2
391	to teach	[tiːtʃ]	учить, преподавать	работа и профессии	глаголы
392	to work	[wɜːk]	работать	работа и профессии	глаголы
393	apartment	[əˈpɑːtmənt]	квартира	Дом	
394	basement	[ˈbeɪsmənt]	подвал	Дом	
395	ceiling	[ˈsiːlɪŋ]	потолок	Дом	
396	floor	[flɔː(r)]	пол (этаж)	Дом	
397	home	[həʊm]	дом (место)	Дом	
398	house	[haʊs]	дом (здание)	Дом	
399	neighbour	[ˈneɪbə(r)]	сосед	Дом	
400	roof	[ruːf]	крыша	Дом	
401	stairs	[steəz]	лестница	Дом	
402	wall	[wɔːl]	стена	Дом	
403	yard	[jɑːd]	двор	Дом	
404	armchair	[ˈɑːmtʃeə(r)]	кресло	Гостиная	
405	bookcase	[ˈbʊkkeɪs]	книжный шкаф	Гостиная	
406	carpet	[ˈkɑːpɪt]	ковер	Гостиная	
407	coffee table	[ˈkɒfi teɪbl]	кофейный столик	Гостиная	
408	computer	[kəmˈpjuːtə(r)]	компьютер	Гостиная	
409	curtains	[ˈkɜːtnz]	шторы	Гостиная	
410	desk	[desk]	рабочий стол	Гостиная	
411	lamp	[læmp]	лампа	Гостиная	
412	laptop	[ˈlæptɒp]	ноутбук	Гостиная	
413	living room	[ˈlɪvɪŋ ruːm]	гостиная	Гостиная	
414	painting	[ˈpeɪntɪŋ]	картина	Гостиная	
415	picture frame	[ˈpɪktʃə freɪm]	рамка для фотографий	Гостиная	
416	sofa	[ˈsəʊfə]	диван	Гостиная	
417	TV	[ˌtiː ˈviː]	телевизор	Гостиная	
418	bath	[bɑːθ]	ванна	Ванная комната	
419	bathrobe	[bɑːθrəʊb]	банный халат	Ванная комната	
420	bathroom	[ˈbɑːθruːm]	Ванная комната комната	Ванная комната	
421	bubbles	[ˈbʌblz]	пузырьки	Ванная комната	
422	mirror	[ˈmɪrə(r)]	зеркало	Ванная комната	
423	razor	[ˈreɪzə(r)]	бритва	Ванная комната	
424	shampoo	[ʃæmˈpuː]	шампунь	Ванная комната	
425	shower	[ˈʃaʊə(r)]	душ	Ванная комната	
426	soap	[səʊp]	мыло	Ванная комната	
427	sponge	[spʌndʒ]	губка	Ванная комната	
428	toilet	[ˈtɔɪlət]	унитаз	Ванная комната	
429	toothbrush	[ˈtuːθbrʌʃ]	зубная щетка	Ванная комната	
430	toothpaste	[ˈtuːθpeɪst]	зубная паста	Ванная комната	
431	towel	[ˈtaʊəl]	полотенце	Ванная комната	
432	alarm clock	[əˈlɑːm klɒk]	будильник	Спальня	
433	bed	[bed]	кровать	Спальня	
434	bedroom	[ˈbedruːm]	спальня	Спальня	
435	blanket	[ˈblæŋkɪt]	одеяло	Спальня	
436	closet	[ˈklɒzɪt]	платяной шкаф	Спальня	
437	hairbrush	[ˈheəbrʌʃ]	расческа	Спальня	
438	hanger	[ˈhæŋə(r)]	вешалка	Спальня	
439	light switch	[laɪt swɪtʃ]	выключатель света	Спальня	
440	phone	[fəʊn]	телефон	Спальня	
441	pillow	[ˈpɪləʊ]	подушка	Спальня	
442	sheet	[ʃiːt]	простыня	Спальня	
443	bowl	[bəʊl]	миска	Кухня	
444	chair	[tʃeə(r)]	стул	Кухня	
445	cooker	[ˈkʊkə(r)]	плита	Кухня	
446	cup	[kʌp]	чашка	Кухня	
447	fork	[fɔːk]	вилка	Кухня	
448	freezer	[ˈfriːzə(r)]	морозильная камера	Кухня	
449	fridge	[frɪdʒ]	холодильник	Кухня	
450	glass	[ɡlɑːs]	бокал	Кухня	
451	kettle	[ˈketl]	чайник	Кухня	
452	kitchen	[ˈkɪtʃɪn]	кухня	Кухня	
453	knife	[naɪf]	нож	Кухня	
454	mug	[mʌɡ]	кружка	Кухня	
455	plate	[pleɪt]	тарелка	Кухня	
456	spoon	[spuːn]	ложка	Кухня	
457	table	[ˈteɪbl]	стол	Кухня	
458	to brush teeth	[brʌʃ tiːθ]	чистить зубы		глаголы
459	to clean	[kliːn]	чистить		глаголы
460	to dry	[draɪ]	сушить		глаголы
461	to live	[lɪv]	жить		глаголы
462	to sleep	[sliːp]	спать		глаголы
463	to take a bath	[teɪk ə bɑːθ]	принимать ванну		глаголы
464	to wash	[wɒʃ]	мыть		глаголы
465	basketball	[ˈbɑːskɪtbɔːl]	баскетбол	Спорт и хобби	
466	billiards	[ˈbɪliədz]	бильярд	Спорт и хобби	
467	book	[bʊk]	книга	Спорт и хобби	
468	bowling	[ˈbəʊlɪŋ]	боулинг	Спорт и хобби	
